t,estado,wp_idx,x_odom,y_odom,phi_odom,x_gt,y_gt,phi_gt,v_cmd,w_cmd,vl_motor,vr_motor,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,ps0_f,ps1_f,ps2_f,ps3_f,ps4_f,ps5_f,ps6_f,ps7_f,dist_ir,dist_kalman,casi_colision
0.032000,FOLLOW_PATH,0,-0.392645,-0.406013,0.885506,-0.392645,-0.406013,0.885506,0.075748,1.310068,2.033451,5.356551,87.333968,68.714712,71.729115,70.272842,65.123234,70.236257,69.968280,67.068430,87.333968,68.714712,71.729115,70.272842,65.123234,70.236257,69.968280,67.068430,0.064504,0.064504,0
0.064000,FOLLOW_PATH,0,-0.391177,-0.404137,0.927594,-0.392449,-0.405676,0.923371,0.076743,1.145287,2.291009,5.196127,80.648371,66.597163,62.721456,66.817198,67.915157,69.746300,65.802310,65.047920,84.994009,67.973570,68.576434,69.063367,66.100407,70.064772,68.510190,66.361252,0.065137,0.065021,0
0.096000,FOLLOW_PATH,0,-0.389708,-0.402101,0.964731,-0.394993,-0.403272,0.959097,0.077513,1.000051,2.512751,5.049467,73.652359,67.041813,64.971594,67.428962,64.478650,63.386777,68.080248,70.805016,81.024432,67.647455,67.314740,68.491325,65.532792,67.727474,68.359710,67.916569,0.066210,0.064348,0
0.128000,FOLLOW_PATH,0,-0.388345,-0.400070,0.994440,-0.397751,-0.401000,0.988030,0.078054,0.884064,2.686261,4.928765,85.080897,68.852901,63.731154,66.480599,66.532711,64.206464,74.827764,64.940512,82.444194,68.069361,66.060485,67.787571,65.882764,66.495121,70.623529,66.874949,0.065826,0.063247,0
0.160000,FOLLOW_PATH,0,-0.387043,-0.397999,1.024149,-0.400617,-0.398843,1.013931,0.078531,0.767738,2.857062,4.804495,80.262598,60.777962,57.399075,68.630137,58.895127,69.270017,71.098193,59.886809,81.680636,65.517371,63.028992,68.082469,63.437091,67.466334,70.789662,64.429100,0.066032,0.062208,0
0.192000,FOLLOW_PATH,0,-0.385732,-0.395783,1.048907,-0.402121,-0.397693,1.036044,0.078877,0.671021,2.996606,4.698707,78.459371,72.758449,71.894322,65.890486,61.553297,67.641443,67.553042,64.992305,80.553193,68.051748,66.131857,67.315275,62.777763,67.527622,69.656845,64.626222,0.066337,0.061156,0
0.224000,FOLLOW_PATH,0,-0.384504,-0.393593,1.071189,-0.403646,-0.396595,1.055389,0.079149,0.583869,3.120423,4.601456,81.155622,66.827330,67.126739,66.325993,65.573679,54.667887,64.850760,72.534950,80.764043,67.623202,66.480066,66.969026,63.756334,63.026715,67.974715,67.394277,0.066280,0.060183,0
0.256000,FOLLOW_PATH,0,-0.383321,-0.391380,1.088519,-0.405741,-0.395238,1.072299,0.079335,0.516287,3.215175,4.524780,80.508284,69.067128,61.353531,69.833127,65.333833,64.641620,71.601480,68.788204,80.674527,68.128576,64.685779,67.971462,64.308459,63.591932,69.244083,67.882151,0.066304,0.059265,0
0.288000,FOLLOW_PATH,0,-0.382144,-0.389090,1.103374,-0.407886,-0.393921,1.087221,0.079475,0.458455,3.295380,4.458290,74.316642,104.876584,74.120345,68.456869,66.614641,70.782245,68.146408,63.746205,78.449268,80.990379,67.987877,68.141354,65.115622,66.108541,68.859897,66.434570,0.066219,0.058342,0
0.320000,FOLLOW_PATH,0,-0.381032,-0.386839,1.120704,-0.410075,-0.392641,1.100444,0.079619,0.390486,3.388608,4.379109,80.639617,141.534328,69.679553,65.876335,73.487176,65.622166,66.451673,66.564172,79.215890,102.180761,68.579963,67.348598,68.045666,65.938310,68.017018,66.479931,0.060492,0.056602,0
0.352000,FOLLOW_PATH,0,-0.379923,-0.384515,1.130607,-0.412230,-0.391436,1.111682,0.079690,0.352092,3.440775,4.333886,82.467343,177.770226,60.338753,64.816288,67.734755,66.995902,67.112976,73.454218,80.353898,128.637074,65.695540,66.462289,67.936847,66.308467,67.700604,68.920931,0.047727,0.053020,0
0.384000,AVOID,0,-0.378868,-0.382237,1.142986,-0.414407,-0.390262,1.121789,0.020000,2.000000,-1.560976,3.512195,82.950517,188.155612,62.182255,61.459625,67.878855,72.358059,67.577608,68.489162,81.262715,149.468562,64.465890,64.711357,67.916550,68.425824,67.657555,68.769812,0.042245,0.049219,0
0.416000,AVOID,0,-0.378620,-0.381643,1.207356,-0.414778,-0.389510,1.178374,0.020000,2.000000,-1.560976,3.512195,69.808916,174.558250,66.023564,71.236768,65.370895,70.966657,70.733636,69.763292,77.253886,158.249953,65.011076,66.995251,67.025571,69.315116,68.734183,69.117530,0.039967,0.047255,0
0.448000,AVOID,0,-0.378410,-0.381034,1.271726,-0.415174,-0.388782,1.235270,0.020000,2.000000,-1.560976,3.512195,67.510361,167.357948,69.295329,62.069466,66.307088,68.284408,71.319652,65.361608,73.843652,161.437751,66.510564,65.271226,66.774102,68.954368,69.639097,67.802957,0.039548,0.045542,0
0.480000,AVOID,0,-0.378240,-0.380414,1.336096,-0.415614,-0.388073,1.292374,0.020000,2.000000,-1.560976,3.512195,72.055708,164.566271,67.124517,63.063389,63.234791,62.727858,67.628645,63.583875,73.217871,162.532733,66.725448,64.498483,65.535343,66.775090,68.935439,66.326278,0.039404,0.044075,0
0.512000,AVOID,0,-0.378111,-0.379783,1.400466,-0.416094,-0.387387,1.349610,0.020000,2.000000,-1.560976,3.512195,61.209735,145.596948,69.334036,67.375872,65.987251,69.811617,70.837718,67.347199,69.015024,156.605208,67.638454,65.505569,65.693511,67.837874,69.601237,66.683600,0.040367,0.042975,0
0.544000,AVOID,0,-0.378030,-0.379209,1.462360,-0.416613,-0.386729,1.406917,0.020000,2.000000,-1.560976,3.512195,62.099805,136.798960,63.978574,62.777097,67.213386,69.308112,67.904018,67.006083,66.594697,149.673022,66.357496,64.550604,66.225467,68.352458,69.007210,66.796470,0.042191,0.042365,0
0.576000,AVOID,0,-0.377981,-0.378567,1.526730,-0.417168,-0.386100,1.464254,0.020000,2.000000,-1.560976,3.512195,67.685603,127.392596,67.935514,68.932665,60.304237,66.030061,66.108706,64.656182,66.976514,141.874872,66.909802,66.084325,64.153037,67.539619,67.992734,66.047369,0.044243,0.042094,0
0.608000,AVOID,0,-0.377974,-0.377924,1.591100,-0.417758,-0.385502,1.521589,0.020000,2.000000,-1.560976,3.512195,63.675263,115.168704,65.770562,69.244336,65.756289,69.959466,66.859843,70.417595,65.821076,132.527713,66.511068,67.190329,64.714175,68.386565,67.596222,67.576948,0.046703,0.042223,0
0.640000,AVOID,0,-0.378010,-0.377217,1.652995,-0.418380,-0.384939,1.578904,0.020000,2.000000,-1.560976,3.512195,67.986439,114.523509,62.879302,62.224248,69.926974,57.993363,64.403444,65.157181,66.578953,126.226242,65.239950,65.452201,66.538655,64.748944,66.478750,66.730030,0.048362,0.042521,0
0.672000,AVOID,0,-0.378083,-0.376577,1.717365,-0.419034,-0.384413,1.636184,0.020000,2.000000,-1.560976,3.512195,67.521682,90.481669,68.002107,67.166664,66.719341,66.480741,65.899510,68.806190,66.908908,113.715642,66.206705,66.052263,66.601895,65.355073,66.276016,67.456686,0.053928,0.043645,0
0.704000,AVOID,0,-0.378198,-0.375944,1.781735,-0.419715,-0.383924,1.693423,0.020000,2.000000,-1.560976,3.512195,63.594910,73.098696,101.530171,67.761507,65.906120,70.073033,66.856980,71.371698,65.749009,99.499711,78.569918,66.650498,66.358373,67.006359,66.479353,68.826940,0.061216,0.045670,0
0.736000,FOLLOW_PATH,0,-0.378353,-0.375319,1.846105,-0.420423,-0.383475,1.750618,0.064658,-2.518680,6.280000,-0.039951,70.302933,68.109684,198.874002,68.835176,67.591865,63.788346,63.189593,59.779855,67.342882,88.513201,120.676348,67.415135,66.790096,65.880055,65.327937,65.660460,0.064186,0.047831,0
0.768000,FOLLOW_PATH,0,-0.378816,-0.373378,1.764404,-0.422253,-0.384519,1.677667,0.068227,-2.197623,6.115365,0.540908,61.139923,78.585448,128.802410,73.180014,66.328794,64.542007,71.640572,67.006924,65.171847,85.038488,123.520469,69.432843,66.628640,65.411738,67.537359,66.131723,0.065125,0.048658,0
0.800000,FOLLOW_PATH,0,-0.379163,-0.371217,1.695083,-0.424311,-0.385373,1.611932,0.070905,-1.925935,5.901415,1.016116,61.604554,98.840436,70.115425,64.930632,64.934738,69.848913,67.279776,71.000529,63.923294,89.869169,104.828704,67.857069,66.035774,66.964749,67.447205,67.835805,0.063819,0.049007,0
0.832000,FOLLOW_PATH,0,-0.379373,-0.368974,1.633189,-0.426472,-0.386034,1.552142,0.073019,-1.683469,5.697024,1.426760,71.002330,110.085956,69.049237,66.132989,65.181475,68.786007,64.518135,64.194431,66.400957,96.945045,92.305891,67.253641,65.736769,67.602190,66.422031,66.561324,0.061907,0.048970,0
0.864000,FOLLOW_PATH,0,-0.379460,-0.366658,1.583673,-0.428809,-0.386553,1.492236,0.074513,-1.490079,5.524639,1.744927,66.048914,121.008475,64.084735,67.379419,66.587055,64.001724,68.434772,61.029286,66.277742,105.367245,82.428486,67.297663,66.034370,66.342027,67.126490,64.625110,0.059145,0.048479,0
0.896000,FOLLOW_PATH,0,-0.379431,-0.364212,1.534158,-0.431258,-0.386854,1.439382,0.075835,-1.296386,5.343470,2.055077,68.194469,121.328226,64.705791,64.825852,66.596286,69.330009,72.365209,77.660880,66.948596,110.953589,76.225543,66.432529,66.231040,67.387820,68.960042,69.187630,0.055654,0.047439,0
0.928000,FOLLOW_PATH,0,-0.379294,-0.361835,1.492070,-0.431809,-0.386494,1.464501,0.076819,-1.131769,5.182685,2.311857,67.389950,125.932914,68.031430,73.282012,66.296809,75.059634,72.142258,71.829527,67.103070,116.196352,73.357603,68.829848,66.254059,70.072955,70.073817,70.112294,0.052377,0.046127,0
0.960000,FOLLOW_PATH,0,-0.379059,-0.359400,1.457409,-0.432425,-0.386117,1.493235,0.077530,-0.996511,5.045830,2.518095,70.058871,120.310890,68.106233,69.474352,64.816531,65.849425,67.633864,67.686948,68.137601,117.636441,71.519624,69.055424,65.750924,68.594720,69.219834,69.263423,0.051477,0.044821,0
0.992000,FOLLOW_PATH,0,-0.378735,-0.356910,1.425224,-0.433097,-0.385733,1.525084,0.078112,-0.870837,4.914798,2.705844,68.265666,110.636059,64.979947,69.803650,68.532924,60.443836,65.409605,71.619772,68.182423,115.186307,69.230737,69.317303,66.724624,65.741910,67.886254,70.088145,0.053009,0.043874,0
1.024000,FOLLOW_PATH,0,-0.378344,-0.354496,1.395515,-0.433818,-0.385348,1.559947,0.078581,-0.754615,4.790273,2.876127,61.083041,107.860567,201.583084,67.671375,70.514008,70.533057,71.233154,62.704265,65.697640,112.622298,115.554058,68.741228,68.050909,67.418812,69.057669,67.503787,0.054611,0.043354,0
1.056000,FOLLOW_PATH,0,-0.377879,-0.352029,1.373233,-0.435617,-0.385302,1.561201,0.078888,-0.667847,4.695198,3.001147,71.078590,107.949620,198.195866,65.634338,66.259123,65.146568,67.487815,76.587811,67.580972,110.986861,144.478691,67.653817,67.423784,66.623526,68.508220,70.683195,0.055633,0.043005,0
1.088000,FOLLOW_PATH,0,-0.377359,-0.349573,1.350951,-0.438057,-0.385437,1.542955,0.079158,-0.580800,4.597999,3.124749,77.231571,116.097966,201.370486,69.181799,72.072283,63.886536,70.212409,85.195447,70.958682,112.775748,164.390819,68.188610,69.050758,65.665580,69.104686,75.762484,0.054515,0.042543,0
1.120000,FOLLOW_PATH,0,-0.376790,-0.347128,1.333620,-0.440515,-0.385503,1.526824,0.079342,-0.513310,4.521378,3.219323,81.983759,115.698978,197.181869,70.751429,65.115306,57.556797,71.668920,101.006836,74.817459,113.798878,175.867687,69.085597,67.673350,62.827506,70.002168,84.598007,0.053876,0.042055,0
1.152000,FOLLOW_PATH,0,-0.376167,-0.344630,1.318766,-0.442986,-0.385538,1.512369,0.079482,-0.455561,4.454942,3.299372,94.983523,118.238058,188.549949,70.443736,67.742480,61.935876,71.867148,100.758095,81.875581,115.352591,180.306478,69.560945,67.697545,62.515436,70.654911,90.254038,0.052905,0.041442,0
1.184000,FOLLOW_PATH,0,-0.375519,-0.342204,1.301435,-0.445466,-0.385517,1.499404,0.079625,-0.387662,4.375796,3.392457,99.103803,114.676915,210.624325,66.577418,71.628806,62.838438,69.730953,110.930730,87.905459,115.116105,190.917725,68.516711,69.073487,62.628487,70.331525,97.490880,0.053052,0.040995,0
1.216000,FOLLOW_PATH,0,-0.374822,-0.339725,1.291532,-0.447952,-0.385442,1.488282,0.079695,-0.349330,4.330620,3.444513,108.927487,116.538373,193.573020,65.251751,67.809035,75.588827,68.682282,114.658014,95.263169,115.613899,191.847078,67.373975,68.630929,67.164606,69.754290,103.499377,0.052741,0.040512,0
1.248000,FOLLOW_PATH,0,-0.374115,-0.337317,1.279154,-0.450440,-0.385327,1.478210,0.079774,-0.300920,4.273056,3.509746,110.219039,127.595868,198.974385,62.681070,69.468244,62.994765,75.482485,119.212460,100.497724,119.807588,194.341635,65.731458,68.923989,65.705161,71.759158,108.998956,0.050120,0.039772,0
1.280000,FOLLOW_PATH,0,-0.373363,-0.334854,1.269250,-0.452928,-0.385172,1.469505,0.079828,-0.262294,4.226717,3.561387,105.461712,127.577483,192.121169,69.194995,62.027082,76.039386,69.948633,117.081720,102.235119,122.527051,193.564472,66.943696,66.510072,69.322140,71.125474,111.827924,0.049335,0.038971,0
1.312000,FOLLOW_PATH,0,-0.372608,-0.332460,1.261823,-0.455415,-0.384985,1.461910,0.079864,-0.233433,4.191858,3.599734,114.470823,128.490117,210.013043,72.694038,66.171119,64.482906,83.309513,135.583789,106.517616,124.614124,199.321472,68.956316,66.391438,67.628408,75.389888,120.142477,0.048786,0.038261,0
1.344000,FOLLOW_PATH,0,-0.371813,-0.330011,1.251920,-0.457901,-0.384771,1.455159,0.079905,-0.194576,4.144602,3.651044,129.491885,136.371014,212.270158,67.348084,67.286773,69.735840,94.300065,148.739951,114.558610,128.729036,203.853512,68.393435,66.704805,68.366009,82.008450,130.151593,0.047329,0.037388,0
1.376000,AVOID,0,-0.371000,-0.327568,1.246969,-0.460386,-0.384529,1.449539,0.020000,2.000000,-1.560976,3.512195,131.307498,135.794300,209.135494,67.944182,62.091918,69.940498,108.919490,161.760197,120.420721,131.201878,205.702206,68.236196,65.090295,68.917080,91.427314,141.214604,0.044417,0.036216,0
1.408000,AVOID,0,-0.370815,-0.326951,1.311339,-0.461014,-0.383886,1.508119,0.020000,2.000000,-1.560976,3.512195,146.167247,125.106757,199.271380,63.262867,65.327104,56.089504,96.544553,155.625198,129.432005,129.068586,203.451417,66.495531,65.173178,64.427429,93.218348,146.258312,0.043090,0.036671,0
1.440000,AVOID,0,-0.370670,-0.326324,1.375709,-0.461623,-0.383296,1.565470,0.020000,2.000000,-1.560976,3.512195,154.870223,113.885757,215.476047,67.247345,67.175638,66.707822,71.657183,153.202120,138.335381,123.754596,207.660037,66.758666,65.874039,65.225566,85.671940,148.688645,0.042450,0.036966,0
1.472000,AVOID,0,-0.370565,-0.325689,1.440079,-0.462263,-0.382747,1.622997,0.020000,2.000000,-1.560976,3.512195,159.127043,107.138949,213.830020,62.233255,69.189399,66.590634,63.703117,147.282786,145.612463,117.939119,209.819531,65.174772,67.034415,65.703340,77.982852,148.196594,0.042580,0.037236,0
1.504000,AVOID,0,-0.370502,-0.325048,1.504449,-0.462935,-0.382238,1.680608,0.020000,2.000000,-1.560976,3.512195,167.413072,67.820436,214.871610,69.815827,67.183943,63.899993,70.816747,146.434428,153.242676,100.397580,211.587759,66.799141,67.086750,65.072169,75.474715,147.579836,0.041252,0.037273,0
1.536000,AVOID,0,-0.370481,-0.324470,1.566343,-0.463642,-0.381764,1.738825,0.020000,2.000000,-1.560976,3.512195,182.844604,60.023757,202.537445,70.959863,69.348149,68.810138,72.847527,145.977546,163.603351,86.266742,208.420149,68.255394,67.878239,66.380458,74.555199,147.019034,0.039263,0.037069,0
1.568000,AVOID,0,-0.370499,-0.323826,1.630713,-0.464385,-0.381333,1.797111,0.020000,2.000000,-1.560976,3.512195,193.772030,68.886037,213.887902,65.343086,64.834744,64.032717,67.938026,133.021459,174.162389,80.183495,210.333863,67.236086,66.813016,65.558749,72.239188,142.119883,0.037873,0.036637,0
1.600000,AVOID,0,-0.370558,-0.323185,1.695083,-0.465166,-0.380949,1.855335,0.020000,2.000000,-1.560976,3.512195,206.430020,70.461453,187.176765,68.310217,72.374997,69.040449,73.195686,123.452415,185.456059,76.780780,202.228879,67.612032,68.759709,66.777344,72.573963,135.586269,0.036387,0.036051,0
1.632000,AVOID,0,-0.370659,-0.322549,1.759453,-0.465948,-0.380607,1.913451,0.020000,2.000000,-1.560976,3.512195,194.753950,70.029148,179.300374,70.570902,68.867419,71.640964,71.138097,112.527271,188.710321,74.417709,194.203902,68.647637,68.797408,68.479611,72.071410,127.515620,0.035959,0.035488,0
1.664000,AVOID,0,-0.370800,-0.321921,1.823823,-0.466746,-0.380311,1.971448,0.020000,2.000000,-1.560976,3.512195,212.276812,176.787287,157.809626,56.296037,67.022193,70.656474,75.246429,113.514717,196.958593,110.247061,181.465906,64.324577,68.176083,69.241513,73.182666,122.615304,0.034874,0.034849,0
1.696000,AVOID,0,-0.370981,-0.321303,1.888193,-0.467558,-0.380061,2.029322,0.020000,2.000000,-1.560976,3.512195,211.663863,192.798147,154.455438,63.568399,65.903795,68.118273,64.427131,112.281631,202.105438,139.139941,172.012242,64.059915,67.380782,68.848379,70.118229,118.998518,0.034197,0.034204,0
1.728000,AVOID,0,-0.371201,-0.320699,1.952563,-0.468381,-0.379860,2.087079,0.020000,2.000000,-1.560976,3.512195,197.589324,199.121841,139.365035,66.078600,69.540901,63.223806,67.878479,67.036078,200.524798,160.133606,160.585719,64.766454,68.136824,66.879779,69.334317,100.811664,0.034405,0.033683,0
